Properti_Name,Price,Lokasi,Detail
"Dijual Rumah Siap Huni, Lingkungan Komplek di Cipete",Rp 6.000.000.000,"Kebayoran Baru, Jakarta Selatan",3 KT - 3 KM - 260 m2
Di Jual Cepat Rumah Ragunan Harga Murah,Rp 2.100.000.000,"Pasar Minggu, Jakarta Selatan",3 KT - 3 KM - 139 m2
Kebayoran Baru lokasi dekat stasiun MRT dan Panglima Polim Raya,Rp 5.800.000.000,"Kebayoran Baru, Jakarta Selatan",10 KT - 3 KM - 237 m2
South Quarter Residence Tipe 1 BR + Study,Rp 2.617.738.820,"Cilandak, Jakarta Selatan",1 KT - 1 KM - 60 m2
Dijual Rumah Pondok Indah Brand New Ada Swimming Pool #128951,Rp 9.300.000.000,"Jakarta Selatan, Jakarta D.K.I.",3 KT - 2 KM - 390 m2
"Hunian Modern Classic 2-lantai Plus Rooftop, Akses Mobil di Jagakarsa",Rp 860.000.000,"Cilandak, Jakarta Selatan",3 KT - 2 KM - 91 m2
"Hunian Modern Classic 2-lantai Plus Rooftop, Akses Mobil di Jagakarsa",Rp 860.000.000,"Cilandak, Jakarta Selatan",3 KT - 2 KM - 91 m2
Rumah Siap Huni Halaman Luas,Rp 25.000.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 3 KM - 385.0 m2
Rumah manis harga ekonomis lokasi strategis di meruyung cinere depok,Rp 275.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 30 m2
Rumah manis harga ekonomis lokasi strategis di meruyung cinere depok,Rp 275.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 30 m2
Turun Harga Apt Pejaten Park Residence 1 Br Ff,Rp 1.250.000.000,"Pasar Minggu, Jakarta Selatan",1 KT - 1 KM - 42 m2
Rumah Baru Siap Huni Di Komplek Ampera Dekat Kemang Jaksel,Rp 5.900.000.000,"Pasar Minggu, Jakarta Selatan",5 KT - 6 KM - 430 m2
rumah baru siap huni pool di pakubowono kebayoran baru SHM,Rp 35.000.000.000,"Kebayoran Baru, Jakarta Selatan",5 KT - 5 KM - 840 m2
RUMAH LAMA HITUNG TANAH DENGAN LOKASI STRATEGIS,Rp 20.000.000.000,"Kebayoran Baru, Jakarta Selatan",7 KT - 3 KM - 300 m2
Hunian memukau harga terjangkau di meruyung cinere depok,Rp 350.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 36 m2
Rumah Pejaten Ampera Jual Cepat turun harga,Rp 10.000.000.000,"Pasar Minggu, Jakarta Selatan",6 KT - 3 KM - 200 m2
DIJUAL RUMAH DI PESONA LINE14 RESIDENCE DEKAT MALLA EON TANJUNG BARAT,Rp 1.900.000.000,"Pasar Minggu, Jakarta Selatan",3 KT - 3 KM - 57 m2
Jual unit Apartmen L'avenue office & Residence,Rp 1.300.000.000,"Pancoran, Jakarta Selatan",1 KT - 1 KM - 64 m2
Cluster murah 2 Lantai Bintaro sebelah mall Bx Change,Rp 1.300.000.000,"Kebayoran Lama, Jakarta Selatan",3 KT - 3 KM - 83 m2
Jual Cepat Tower Tulip Type 3 BR Aparteemen Kalibata City Green Palace,Rp 675.000.000,"Pancoran, Jakarta Selatan",3 KT - 1 KM - 50 m2
PANCORAN METROPOLITAN 18 RESIDENCE,Rp 3.900.000.000,"Pancoran, Jakarta Selatan",4 KT - 4 KM - 200 m2
RUMAH CANTIK FULL RENOVATION DENGAN DESIGN AMERICAN CLASSIC,Rp 32.000.000.000,"Kebayoran Baru, Jakarta Selatan",5 KT - 5 KM - 600 m2
"DIJUAL CEPAT RUMAH MEWAH BARU DI BRAWIJAYA, KEBAYORAN BARU",Rp 39.000.000.000,"Kebayoran Baru, Jakarta Selatan",4 KT - 4 KM - 550 m2
dijual rumah dalam cluster siap huni dipejaten barat,Rp 6.300.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 3 KM - 325 m2
dijual rumah jalan Adhiyaksa raya,Rp 25.000.000.000,"Cilandak, Jakarta Selatan",7 KT - 5 KM - 600 m2
"DIJUAL RUMAH MEWAH BARU DI BRAWIJAYA, KEBAYORAN BARU",Rp 32.000.000.000,"Kebayoran Baru, Jakarta Selatan",4 KT - 4 KM - 550 m2
"RUMAH  3 LANTAI STRATEGIS DEKAT KE JALAN RAYA , KEBAYORAN BARU",Rp 11.500.000.000,"Kebayoran Baru, Jakarta Selatan",8 KT - 7 KM - 225 m2
dijual rumah dalam komplek dipejaten timur,Rp 2.500.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 2 KM - 180 m2
Rumah cluster di meruyung cinere depok,Rp 350.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 36 m2
Hunian Baru 4 Lantai Rooftop Lokasi Prime Dkt Gatot Soebroto,Rp 3.900.000.000,"Mampang Prapatan, Jakarta Selatan",3 KT - 4 KM - 165 m2
rumah siap huni lokasi strategis di cibulan kebayoran baru SHM,Rp 8.000.000.000,"Kebayoran Baru, Jakarta Selatan",4 KT - 4 KM - 180 m2
For Sell Pakubuwono House Apartment 2BR+1 175 sqm,Rp 5.500.000.000,"Kebayoran Baru, Jakarta Selatan",2 KT - 2 KM - 175 m2
KALIBATA CITY 2BR FULL FURNISHED DIRECT OWNER,Rp 375.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 33 m2
Permata Hijau Mansion Tipe A,Rp 3.525.000.000,"Kebayoran Lama, Jakarta Selatan",4 KT - 4 KM - 130 m2
Jual Cepat Tower Gaharu 2 BR Bersih Furnish Apartemen Kalibata City,Rp 345.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 34 m2
Dijual Apartmen Pakubuwono Terrace,Rp 550.000.000,"Kebayoran Lama, Jakarta Selatan",2 KT - 1 KM - 38 m2
Jual Apartemen Mewah Arumaya 1BR Full Furnish di Jakarta Selatan,Rp 2.800.000.000,"Cilandak, Jakarta Selatan",1 KT - 1 KM - 55 m2
rumah lama direnovasi,Rp 17.000.000.000,"Pesanggrahan, Jakarta Selatan",4 KT - 2 KM - 150 m2
rumah modern di binataro jakarta selatan siap huni,Rp 3.500.000.000,"Pesanggrahan, Jakarta Selatan",3 KT - 3 KM - 240 m2
Rumah Potensi Cuan Model Ngantong Cocok Usaha Akses Jalan Lebar,Rp 19.000.000.000,"Kebayoran Lama, Jakarta Selatan",6 KT - 5 KM - 319 m2
For Sell Pakubuwono House Apartment 2BR+1 175 sqm,Rp 5.500.000.000,"Kebayoran Baru, Jakarta Selatan",2 KT - 2 KM - 175 m2
Dijual Rumah Asri di Cilandak Jaksel (19 M) 14415 oc,Rp 19.000.000.000,"Cilandak, Jakarta Selatan",4 KT - 3 KM - 350 m2
TROPICAL HOUSE AT CILANDAK JAKARTA SELATAN,Rp 9.000.000.000,"Cilandak, Jakarta Selatan",6 KT - 5 KM - 350 m2
dijual rumah strategis,Rp 18.000.000.000,"Kebayoran Baru, Jakarta Selatan",3 KT - 3 KM - 250 m2
DIJUAL RUMAH DI JL. LEBAK BULUS  CILANDAK JAKARTA SELATAN,Rp 1.300.000.000,"Cilandak, Jakarta Selatan",2 KT - 1 KM - 50 m2
"rumah mewah 3 lantai di jakarta selatan,pondok indah,pesanggrahan",Rp 4.000.000.000,"Pesanggrahan, Jakarta Selatan",4 KT - 4 KM - 171 m2
Rumah Cantik Petukangan Pesanggrahan Jakarta Selatan Furnish,Rp 8.500.000.000,"Pesanggrahan, Jakarta Selatan",4 KT - 3 KM - 320 m2
Dijual Rumah Minimalis Lokasi Strategis Jaksel 2-lantai Plus Rooftop,Rp 860.000.000,"Pasar Minggu, Jakarta Selatan",3 KT - 2 KM - 90 m2
Di Jual Rumah Pondok Pinang Kebayoran lama Jakarta Selatan,Rp 420.000.000,"Kebayoran Lama, Jakarta Selatan",2 KT - 1 KM - 60 m2
Panorama Terrace Tipe A,Rp 3.800.000.000,"Pesanggrahan, Jakarta Selatan",5 KT - 4 KM - 180 m2
Jual Cepat Tower Tulip Type 3 BR Apartemen Green Palace Kalibata City,Rp 680.000.000,"Pancoran, Jakarta Selatan",3 KT - 1 KM - 50 m2
The Veranda Resort Apartment,Rp 4.000.000.000,"Cilandak, Jakarta Selatan",2 KT - 1 KM - 99 m2
"rumah townhouse mewah di jakarta selatan,pondok indah",Rp 6.100.000.000,"Pesanggrahan, Jakarta Selatan",4 KT - 4 KM - 200 m2
"Rumah Siap Huni di Sektor 1 Bintaro Jaya (8,7 M) 9134 oc",Rp 8.700.000.000,"Pesanggrahan, Jakarta Selatan",3 KT - 2 KM - 138 m2
Rumah Murah Di Discovery Emerald Bintaro Jaya Tangerang Selatan,Rp 2.950.000.000,"Pesanggrahan, Jakarta Selatan",4 KT - 3 KM - 129 m2
Dijual Cepat Rumah Tingkat SHM Dekat Gandaria City Pondok Indah,Rp 6.950.000.000,"Kebayoran Lama, Jakarta Selatan",6 KT - 6 KM - 500 m2
Apartemen 2 BR Full Furnished di Pancoran Riverside Jakarta Selatan,Rp 550.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 36 m2
"Usaha Kos-Kosan Potensial di Kebayoran Lama, Dijual Cepat",Rp 10.000.000.000,"Kebayoran Lama, Jakarta Selatan",>10 KT - 4 KM - 600 m2
RUMAH MEWAH MODERN 4 LANTAI ONE GATE Sistem DEKAT TB SIMATUPANG,Rp 3.880.000.000,"Cilandak, Jakarta Selatan",5 KT - 5 KM - 235 m2
Disewakan Rumah Area Pejaten Barat,Rp 470.000.000,"Pasar Minggu, Jakarta Selatan",8 KT - 5 KM - 500 m2
Rumah mewah di cluster tiga lantai di jakarta selatan,Rp 4.500.000.000,"Jakarta Selatan, Jakarta D.K.I.",3 KT - 3 KM - 188 m2
"Pejaten Barat, Pasar Minggu - Rumah Hitung Tanah -  Untuk Kost/Hunian",Rp 26.000.000,"Pasar Minggu, Jakarta Selatan",6 KT - 5 KM - 175 m2
Rumah Klasik Cantik di Jakarta Selatan,Rp 13.100.000.000,"Cilandak, Jakarta Selatan",6 KT - 4 KM - 418 m2
Dijual Cepat Rumah Terawat Siap Huni di Duren Tiga,Rp 8.000.000.000,"Pancoran, Jakarta Selatan",4 KT - 4 KM - 221 m2
"JUAL CEPAT, 1 paket (Rmh induk+12 kontrakan+3 kios semua full penyewa)",Rp 5.800.000.000,"Kebayoran Lama, Jakarta Selatan",3 KT - 2 KM - 560 m2
BRAND NEW LUXURY HOUSE 4 LANTAI SIAP HUNI STRATEGIS DI CILANDAK JAKSEL,Rp 8.500.000.000,"Cilandak, Jakarta Selatan",6 KT - 5 KM - 450 m2
RUMAH PEJATEN - PASAR MINGGU,Rp 4.500.000.000,"Pasar Minggu, Jakarta Selatan",5 KT - 2 KM - 200 m2
Rumah lelang Murah dengan lokasi strategis di Gandaria Jaksel,Rp 1.550.000.000,"Kebayoran Baru, Jakarta Selatan",3 KT - 2 KM - 144 m2
Rumah Komplek Tanjung Barat Pasar Minggu,Rp 7.000.000.000,"Pasar Minggu, Jakarta Selatan",7 KT - 4 KM - 272 m2
"dijual rumah dipejaten raya dekat sekolah,rumah ibadah dan penvill",Rp 19.400.000.000,"Pasar Minggu, Jakarta Selatan",5 KT - 4 KM - 375 m2
dijual rumah dipejaten barat siaga,Rp 9.500.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 2 KM - 450 m2
Jual rumah cluster jkt selatan.,Rp 48.000.000.000,"Pasar Minggu, Jakarta Selatan",3 KT - 3 KM - 165 m2
DISCOVERY BINTARO RUMAH HOOK HOMIE EMERALD KEBAYORAN CIELO FLAMINE,Rp 4.900.000.000,"Pesanggrahan, Jakarta Selatan",5 KT - 4 KM - 188 m2
Jual Cepat Rumah Semi Furnish Ada Kolam Renang Area Cipete JakSel,Rp 10.500.000.000,"Cilandak, Jakarta Selatan",3 KT - 3 KM - 180 m2
Rumah murah di meruyung cinere depok,Rp 165.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 21 m2
Rumah cluster di meruyung cinere depok,Rp 165.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 21 m2
Rumah murah di meruyung cinere depok,Rp 165.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 21 m2
Rumah murah di meruyung cinere depok,Rp 165.000.000,"Pesanggrahan, Jakarta Selatan",2 KT - 1 KM - 21 m2
Di jual Cepat Apartment Full Furniah di The Aspen Fatmawati,Rp 2.200.000.000,"Cilandak, Jakarta Selatan",3 KT - 3 KM - 95 m2
DIJUAL PANCORAN METROPOLITAN 18 RESIDENCE,Rp 3.600.000.000,"Pancoran, Jakarta Selatan",5 KT - 4 KM - 200 m2
Turun Harga TerMurah! Rumah 2 Lantai Jakarta Selatan,Rp 3.800.000.000,"Pasar Minggu, Jakarta Selatan",4 KT - 3 KM - 260 m2
DI JUAL MURAH APARTEMEN KALIBATA CITY TOWER EBONI JAKARTA  SELATAN,Rp 280.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 33 m2
apartemen kalibata tower Flamboyan lt 2,Rp 325.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 28 m2
"Ampera Cilandak, Rumah Luas Dijual Cepat",Rp 26.000.000,"Pasar Minggu, Jakarta Selatan",5 KT - 4 KM - 620 m2
Apartemen Four Winds 3br 148m2 Dijual Cepat,Rp 6.000.000.000,"Kebayoran Lama, Jakarta Selatan",2 KT - 2 KM - 148 m2
apartemen kalibata tower Hebras lt 2,Rp 330.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 28 m2
"RUMAH DIJUAL DI PELA MAMPANG, BANGUNAN LUAS DAN STRATEGIS",Rp 4.000.000.000,"Mampang Prapatan, Jakarta Selatan",8 KT - 6 KM - 600.0 m2
Rumah murah di meruyung limo depok dekat tol limo,Rp 165.000.000,"Kebayoran Lama, Jakarta Selatan",2 KT - 1 KM - 21 m2
Rumah 1 lantai di niaga hijau 1 kebayoran lama pondok indah jakarta se,Rp 7.350.000.000,"Kebayoran Lama, Jakarta Selatan",3 KT - 3 KM - 180 m2
Jual Secepatnya Harga Murah Apartemen Kalibata City Jakarta Selatan,Rp 450.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 33 m2
Dijual Apartemen Kalibata Green Palace 2 BR Tipe B SHM,Rp 535.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 42 m2
Dijual Rumah di Pondok Labu 2 Lantai Murah,Rp 6.000.000.000,"Cilandak, Jakarta Selatan",5 KT - 4 KM - 250 m2
Rumah cluster minimalis di meruyung limo depok,Rp 165.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 21 m2
Dijual Rumah Kemang Selatan VIII no 5 (pertigaan H Abu) Cipete Selatan,Rp 6.100.000.000,"Cilandak, Jakarta Selatan",2 KT - 3 KM - 200 m2
Dijual Rumah Di Permata Hijau 2 Jakarta Selatan Harga Nego,Rp 9.700.000.000,"Kebayoran Lama, Jakarta Selatan",5 KT - 5 KM - 630.0 m2
"MYZTRO, Rumah Pertamamu Dengan Kemewahan Terjangkau Cicilan 3 jtan",Rp 727.000.000,"Cilandak, Jakarta Selatan",2 KT - 1 KM - 36 m2
DI JUAL MUARAH APARTEMEN KALIBATA  CITY TOWER GAHARU  HOOK JAKSEL,Rp 340.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 33 m2
Rumah Di Jati Padang Poncol Villa Lima Dijual Cepat,Rp 4.500.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 2 KM - 251 m2
Rumah cluster di meruyung depok dekat tol limo,Rp 165.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 21 m2
Dijual Murah Unit Apartemen Kalibata City Type 2BR di Jakarta Selatan,Rp 380.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 33 m2
Rumah minimalis di meruyung depok dekat tol limo,Rp 165.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 21 m2
Rumah cluster di meruyung depok dekat tol limo,Rp 225.000.000,"Kebayoran Lama, Jakarta Selatan",2 KT - 1 KM - 30 m2
Rumah cluster bebas banjir di meruyung limo depok,Rp 225.000.000,"Cilandak, Jakarta Selatan",2 KT - 1 KM - 30 m2
Rumah cluster di meruyung limo depok,Rp 225.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 30 m2
Rumah cluster di meruyung limo depok,Rp 225.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 30 m2
Rumah cluster di meruyung limo depok,Rp 225.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 30 m2
Rumah dijual minimalis siap huni cilandak jakarta selatan strategis,Rp 7.800.000.000,"Cilandak, Jakarta Selatan",5 KT - 3 KM - 300 m2
Dijual rumah luas 530mtr siap huni di Lebak bulus Cilandak Jkt Selatan,Rp 13.000.000.000,"Cilandak, Jakarta Selatan",5 KT - 5 KM - 450 m2
Dijual Residence8 Senopati 3 kamar pribate lift harga paling murah,Rp 7.000.000.000,"Kebayoran Baru, Jakarta Selatan",3 KT - 3 KM - 180 m2
Rumah Dijual Brand New Murah Private Pool Di Permata Hijau,Rp 3.000.000.000,"Jakarta Selatan, Jakarta D.K.I.",4 KT - 3 KM - 130 m2
"Rumah dijual dekat TB Simatupang tanpa DP, Cicilan mulai 3 Jt-an",Rp 891.000.000,"Cilandak, Jakarta Selatan",>10 KT - 3 KM - 80 m2
Rumah Pejaten dekat stasiun dan tol Termurah cocok cluster kecil,Rp 9.000.000.000,"Pasar Minggu, Jakarta Selatan",6 KT - 3 KM - 500 m2
Dijual rumah 2 lantai siap huni di Pesanggrahan Jakarta Selatan,Rp 2.000.000.000,"Cilandak, Jakarta Selatan",6 KT - 3 KM - 210 m2
Dijual rumah 2 lantai siap huni di Lebak bulus Cilandak Jkrta Selatan,Rp 3.300.000.000,"Cilandak, Jakarta Selatan",5 KT - 4 KM - 250 m2
Dijual Rumah Menarik dan Mewah Siap Huni di Cipete Jakarta Selatan,Rp 10.500.000.000,"Cilandak, Jakarta Selatan",4 KT - 4 KM - 180 m2
Hunian di meruyung cinere depok dekat tol limo,Rp 275.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 30 m2
Rumah Mewah Minimalis 2-lantai Plus Rooftop Lokasi Premium Jagakarsa,Rp 860.000.000,"Pasar Minggu, Jakarta Selatan",3 KT - 2 KM - 92 m2
Rumah cluster di meruyung limo depok,Rp 275.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 30 m2
Jk250.Rumah Bagus MURAH Full Furnish Dlm Komplek Pondok Labu Cilandak,Rp 3.200.000.000,"Cilandak, Jakarta Selatan",5 KT - 5 KM - 150 m2
Dijual Cepat Rumah Mewah Kemang Jakarta Selatan Fully Furnished,Rp 28.000.000.000,"Mampang Prapatan, Jakarta Selatan",8 KT - 6 KM - 600 m2
"Rumah Tua Hitung Tanah di Cilandak, Jakarta Selatan",Rp 25.000.000,"Cilandak, Jakarta Selatan",6 KT - 5 KM - 365 m2
Rumah Murah Pondok Indah,Rp 14.500.000.000,"Kebayoran Lama, Jakarta Selatan",5 KT - 4 KM - 425 m2
"Rumah Tua Hitung Tanah di Cilandak, Jakarta Selatan",Rp 25.000.000,"Cilandak, Jakarta Selatan",6 KT - 5 KM - 365 m2
Rumah Baru Asri Bintaro All in Free Biaya,Rp 1.500.000.000,"Pesanggrahan, Jakarta Selatan",4 KT - 4 KM - 145 m2
Dijual 2Kamar jadi 1 kamar  Tower Herbras lantai 21 Kalibata city,Rp 399.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 35 m2
SHM Cash KREDIT BANK APARTEMEN KALIBATA CITY RESIDEN GREEN PALACE,Rp 255.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 33 m2
rumah 2 lantai jalan besar di pondok indah jakarta selatan shm,Rp 17.500.000.000,"Kebayoran Lama, Jakarta Selatan",4 KT - 3 KM - 450 m2
"Rumah Tua Hitung Tanah di Cilandak, Jakarta Selatan",Rp 25.000.000,"Cilandak, Jakarta Selatan",6 KT - 5 KM - 365 m2
